sensor_id	sensor_type	location	lat	lon	timestamp	value_type	value
4891	pms5003	3917	6.698	3.322	2024-12-01T13:32:41.933294+00:00	P2	35.46
4891	pms5003	3917	6.698	3.322	2024-12-01T13:32:41.933294+00:00	P1	44.54
4891	pms5003	3917	6.698	3.322	2024-12-01T13:32:41.933294+00:00	P0	22.38
4891	pms5003	3917	6.698	3.322	2024-12-01T13:55:48.589168+00:00	P2	37.46
4891	pms5003	3917	6.698	3.322	2024-12-01T13:55:48.589168+00:00	P1	47.08
4891	pms5003	3917	6.698	3.322	2024-12-01T13:55:48.589168+00:00	P0	24.69
4891	pms5003	3917	6.698	3.322	2024-12-01T14:03:49.459977+00:00	P2	38
4891	pms5003	3917	6.698	3.322	2024-12-01T14:03:49.459977+00:00	P1	46.67
4891	pms5003	3917	6.698	3.322	2024-12-01T14:03:49.459977+00:00	P0	25.33
4891	pms5003	3917	6.698	3.322	2024-12-01T14:11:59.918702+00:00	P2	38.63
4891	pms5003	3917	6.698	3.322	2024-12-01T14:11:59.918702+00:00	P1	47.62
4891	pms5003	3917	6.698	3.322	2024-12-01T14:11:59.918702+00:00	P0	24.63
4892	DHT22	3917	6.698	3.322	2024-12-01T14:12:13.822705+00:00	humidity	33.5
4892	DHT22	3917	6.698	3.322	2024-12-01T14:12:13.822705+00:00	temperature	38.3
4891	pms5003	3917	6.698	3.322	2024-12-01T14:27:51.854534+00:00	P2	35.58
4891	pms5003	3917	6.698	3.322	2024-12-01T14:27:51.854534+00:00	P1	45.5
4891	pms5003	3917	6.698	3.322	2024-12-01T14:27:51.854534+00:00	P0	23.42
4891	pms5003	3917	6.698	3.322	2024-12-01T15:30:16.733180+00:00	P2	36.86
4891	pms5003	3917	6.698	3.322	2024-12-01T15:30:16.733180+00:00	P1	45.36
4891	pms5003	3917	6.698	3.322	2024-12-01T15:30:16.733180+00:00	P0	24.57
4891	pms5003	3917	6.698	3.322	2024-12-01T15:39:24.533831+00:00	P2	38.46
4891	pms5003	3917	6.698	3.322	2024-12-01T15:39:24.533831+00:00	P1	48.15
4891	pms5003	3917	6.698	3.322	2024-12-01T15:39:24.533831+00:00	P0	26
4891	pms5003	3917	6.698	3.322	2024-12-02T17:24:58.427462+00:00	P2	45.36
